Subject_ID,Segment,Condition,Condition_Name,Start_Sample,End_Sample,ECG_Mean,ECG_Std,ECG_Skewness,ECG_Kurtosis,Heart_Rate,SDNN,RMSSD,EMG_Mean,EMG_Std,EMG_Max,EMG_Skewness,EMG_Kurtosis,Chest_EDA_Mean,Chest_EDA_Std,Chest_EDA_Max,Chest_SCR_Count,Chest_SCR_Amplitude_Mean,Wrist_EDA_Mean,Wrist_EDA_Std,Wrist_EDA_Max,Wrist_SCR_Count,Wrist_SCR_Amplitude_Mean,BVP_Mean,BVP_Std,BVP_Amplitude,Pulse_Rate,SpO2,Alpha Fp 1 - Fp 2,Alpha F 3 - F 4,Alpha T 3 - T 4,Alpha P 3 - P 4,Beta1 Fp 1 - Fp 2,Beta1 F 3 - F 4,Beta1 T 3 - T 4,Beta1 P 3 - P 4,Beta2 Fp 1 - Fp 2,Beta2 F 3 - F 4,Beta2 T 3 - T 4,Beta2 P 3 - P 4,stress_score_weighted
2,0,1,baseline,214583,235583,0.001770645,0.131423621,1.37752863,5.551920723,85.1800554,71.49501456,51.70066908,0.015699266,0.004617865,0.052135527,1.917795658,11.32694328,5.160335595,0.180565208,5.756759644,10,0.133247375,1.3802151,0.144906569,1.645664,6,0.10768525,-0.503338542,112.4649924,947.05,79.13232104,0,0.038981052,0.029783102,0.014287889,0.06079547,0.027452101,0.034258764,-0.112017744,0.025225498,0.001461114,0.074587741,-0.067836161,-0.001464786,0.3112243752272339
2,1,1,baseline,225083,246083,0.000752452,0.140524795,1.055935563,3.70888184,81.49801106,97.61207583,63.09893555,0.011767869,0.004743762,0.052135527,2.594120759,16.38811668,4.909262339,0.137080933,5.209732056,14,0.116539001,1.241639075,0.099306989,1.436807,8,0.140666063,-1.748989583,129.2715127,947.05,83.70572207,94,0.040738961,0.015470002,0.002395523,0.04441166,0.009059557,0.042084068,-0.099160355,0.029271588,-0.025633357,0.106640788,-0.008718631,0.003294855,0.29611623694329964
2,2,1,baseline,235583,256583,0.002054714,0.14706936,1.168341351,4.275948699,76.79003805,103.5747948,78.43603052,0.008149426,0.002601435,0.021827733,1.259496457,1.82088385,4.70265116,0.101219744,4.904556274,11,0.121238015,1.19888535,0.087749782,1.436807,8,0.084687906,0.402526042,106.5007901,728.65,80.2640264,0,0.05908508,0.023716765,0.052428041,0.083114223,0.065502282,0.070161996,-0.118231569,0.038135899,0.062952726,0.164702959,-0.035838213,0.009155024,0.2660949840329476
2,3,1,baseline,246083,267083,0.001082413,0.149906894,1.179558027,4.700329042,71.97767223,83.93067487,70.12080127,0.006547432,0.001969082,0.013504934,1.278461877,0.846899262,4.507834607,0.124955566,4.781341553,18,0.161531236,1.099140267,0.084390397,1.23692,5,0.0353648,-0.016796875,72.1393016,704.76,74.00428266,93,0.052315541,0.024383191,0.051953062,0.080661576,0.066429822,0.064279928,-0.096831528,0.028975372,0.070998694,0.136080751,-0.050120285,0.001242623,0.26857497890148285
2,4,1,baseline,256583,277583,0.000607363,0.153520978,0.984286788,3.703120793,73.68421053,76.81335525,57.321674,0.0066643,0.002283723,0.016347482,1.440066998,1.394584321,4.295868029,0.12261008,4.565048218,19,0.119339792,0.943003192,0.09846409,1.122881,3,0.072715333,0.118661458,45.34430745,499.15,76.03960396,93,0.036442971,0.016434399,0.011913931,0.048152718,0.02106466,0.041978143,-0.074174768,0.019954316,0.001991943,0.087067834,-0.026057795,-0.005010236,0.2757813786529843
2,5,1,baseline,267083,288083,0.001086611,0.153251832,0.997610749,3.958842001,71.79837843,88.69871414,54.90305764,0.007224021,0.002176758,0.016347482,1.458639444,1.641399021,4.091340401,0.11540492,4.341888428,25,0.108200073,0.813596775,0.054609994,0.956209,4,0.043565125,0.12690625,51.88165269,499.15,76.46932185,93,0.024574072,-0.000426238,-0.02852363,0.010096887,-0.028270434,0.02965935,-0.044595872,0.014944754,-0.071726877,0.069486933,0.03551646,-0.007182618,0.27491644334927295
2,6,1,baseline,277583,298583,0.001059786,0.154286047,1.044242733,4.462727229,68.54260422,55.07180931,48.13021771,0.007362642,0.002039676,0.015287994,1.453793639,1.438930652,3.912557438,0.092023874,4.14390564,30,0.091908773,0.734752208,0.040563274,0.820388,6,0.02050125,-1.064739583,48.05487629,393.13,80.66334992,0,0.02911266,0.017441495,0.011699226,0.045868835,0.02250083,0.035505249,-0.051299957,0.009980328,0.011340641,0.055574742,-0.04267908,-0.013652072,0.2916334805779783
2,7,1,baseline,288083,309083,0.001108638,0.154436394,0.961453541,3.924171928,70.87552114,57.37360726,44.92349024,0.007358313,0.002064399,0.014851978,1.407860444,1.188976353,3.767647443,0.079597464,3.969192505,29,0.089290224,0.671689325,0.032749151,0.724288,4,0.027708813,-0.082515625,41.60405019,391.49,74.7647377,93,0.024400965,0.014270541,-0.004865169,0.033261848,0.003422928,0.027597747,-0.048679569,0.008864453,-0.019769013,0.042637045,-0.029733725,-0.013997435,0.2904884170984785
2,9,1,baseline,309083,330083,0.00115399,0.207408514,-0.540485252,15.88115531,74.11764706,52.47070233,58.00975086,0.007537431,0.002003111,0.017497538,1.473636926,2.065868945,3.468462753,0.090589314,3.694915771,32,0.127387047,0.54685565,0.033131781,0.607687,4,0.02338425,-0.185776042,68.35955352,730.4,73.88675096,93,0.051082582,0.04060458,0.070463078,0.102034572,0.092896862,0.058069128,-0.10754114,0.02360195,0.112258495,0.102589685,-0.119042302,-0.004948509,0.29824077936867094
2,10,1,baseline,319583,340583,0.001415523,0.155622232,0.847820581,2.902397449,78.27750257,73.05420597,70.70833796,0.009322906,0.003720864,0.028403046,1.758626504,3.838383857,3.371938033,0.051381976,3.553771973,2,0.129890442,0.511715092,0.023716455,0.567966,10,0.030335575,-0.42184375,118.0836401,1033.49,77.28813559,93,0.064046009,0.043961436,0.087927838,0.1185713,0.111522055,0.072484228,-0.138228829,0.035959998,0.134112027,0.148704554,-0.118143787,0.00502974,0.26038985801023967
